Kanji,YuetPing
吖,a/aa
啊,a/aa
㚳,aa
㝞,aa
㢌,aa
㰳,aa
䃁,aa
䢝,aa
丫,aa
亜,aa
亞,aa
俹,aa
厊,aa/ngaa
呀,aa/haa/ngaa
呵,aa/ho/o
咓,aa/ngaa
唖,aa
啞,aa/ak
嗄,aa/aai/haa/saa
埡,aa
妿,aa
婭,aa
孲,aa
掗,aa/ngaa
枒,aa/ngaa
椏,aa/ngaa
氬,aa
瘂,aa
稏,aa
襾,aa/haa
鈳,aa/ho/ko
錏,aa
錒,aa/o
鐚,aa
阿,aa/aak/o
雅,aa/ngaa
鴉,aa
鵶,aa
𠮩,aa/liu
𥮳,aa
𥺼,aa
𦩒,aa
𩤃,aa
㿄,aai
䅬,aai
伌,aai
劸,aai
呃,aai/aak/ak/ngaak/ngak
哎,aai/ai/ngaai
唉,aai/ngaai/oi
唲,aai/ji/waa
嗌,aai/jik
噫,aai/ji
噯,aai/oi
埃,aai/oi
塧,aai
娭,aai/hei/oi
挨,aai/ngaai/oi
欸,aai/ai/e/ei/oi
毐,aai/oi
溾,aai/waai/wui
砨,aai/ak
賹,aai/jat
阨,aai/aak/ak
阸,aai/aak/ai/ak
隘,aai/ai/ak
餲,aai/aat/hot/ngaat
厄,aak/ak
幄,aak/ak
戹,aak/ak
扼,aak/ak
握,aak/ak
軛,aak
軶,aak/ak
鈪,aak/ngaak
𧦠,aak
菡,aam/haam
䁙,aan
䨃,aan
䳛,aan
䳡,aan
䳺,aan/am
俺,aan/jim
妟,aan
姲,aan
晏,aan
暥,aan
殷,aan/jan/jin
洝,aan/aat/on
騴,aan
鴳,aan
鷃,aan
𠹵,aan
䓨,aang
甇,aang/ang
甖,aang
罃,aang/ang
罌,aang/ang
㳌,aap
㾎,aap
䆘,aap
圔,aap/jap
庘,aap
押,aap/aat/haap
擪,aap/jaap/jip/ngaap
浥,aap/jap
鴨,aap
䝟,aat/jaak
䦪,aat/ngaat
䰲,aat
劜,aat
嚈,aat/jip
堨,aat/oi
壓,aat
嫼,aat
恝,aat/gaat/git
戛,aat/gaat/git
揠,aat
曷,aat/hot
札,aat/zaat
歹,aat/daai/ngaat
歺,aat/ngaat
猒,aat/jim
猰,aat/jaak/zaat
胺,aat/on
軋,aat/gaat/zaat
遏,aat/kit
錷,aat
閼,aat/jin
頞,aat
齃,aat
㑃,aau
㕭,aau/jaau/jiu
㘬,aau
㘭,aau
凹,aau/lap/nap/waa
咬,aau/gaau/ngaau
嗷,aau/ngaau/ngou
坳,aau
垇,aau
岙,aau/ou
岰,aau/au
抓,aau/zaa/zaau
抝,aau
拗,aau/juk
柪,aau
箹,aau/cuk/joek
袎,aau/jau
詏,aau
靿,aau
鴢,aau/jiu
㙠,ai
㙪,ai
㝣,ai
㞒,ai/hei
㡫,ai
㢊,ai
㥷,ai
䋵,ai
䗟,ai
医,ai/ji
嫕,ai/ji
屃,ai/hei
屓,ai/hei
屭,ai/hei
幆,ai
曀,ai
殪,ai/ji
殹,ai
瘞,ai/ji
瘱,ai/ji
瞖,ai
矮,ai
縊,ai
繄,ai/ji
翳,ai/ji
蘙,ai
豷,ai/ji
贀,ai
躷,ai
鷖,ai/ji
𠫍,ai
㧖,ak
䌂,ak
䝈,ak
䠎,ak
䮸,ak
偓,ak
呝,ak
喔,ak/o/ok
媉,ak
搤,ak
搹,ak/gaak
枙,ak/ngo
楃,ak
殕,ak/baak/fau/fu
渥,ak
腛,ak
苊,ak
蚅,ak
豟,ak
餩,ak
鬲,ak/gaak/lik
齷,ak
𠿟,ak
㞄,am
㽢,am
䅖,am
䨄,am
䬓,am
匎,am/ap
匼,am/hap/o
厂,am/cong/ho/hon/ngon
唵,am
啽,am/ngaam/ngam
垵,am
媕,am
广,am/gwong/jim
庵,am
揜,am/jim
揞,am
晻,am/jim
暗,am
痷,am/jip
盦,am
盫,am
罯,am/ap
腤,am
菴,am
萻,am
葊,am
蓭,am
誝,am
諳,am
闇,am
陰,am/jam
隌,am
韽,am
馣,am
鵪,am
鶕,am
黬,am
黯,am
龕,am/ham
𡁏,am/ngam
𥂝,am
䅰,an/ngan
䭡,an
䙬,ang
䴍,ang
哽,ang/gang/ngang
褮,ang/jing
鞥,ang
鴬,ang
鶑,ang
鶯,ang
鷪,ang
鸎,ang
𬒔,ang
㔩,ap/hap
㷈,ap
䞩,ap
搕,ap/hap
洽,ap/haap/hap
罨,ap/jim
邑,ap/jap
醃,ap/jim/jip
鰪,ap
扤,at/ngaat/ngat/wat
䉩,au
䉱,au
䌔,au
䙔,au
䥲,au
䫜,au
䳼,au
區,au/keoi
嘔,au/heoi
塸,au
慪,au
敺,au/keoi
梎,au
櫙,au
歐,au
毆,au
漚,au
熰,au
甌,au
膒,au
